Date,AAPL,AMZN,GOOGL,META,MSFT
2021-01-04,125.97447204589844,159.3314971923828,85.65928649902344,267.0743713378906,208.88217163085938
2021-01-05,127.53197479248047,160.92550659179688,86.35006713867188,269.09033203125,209.08367919921875
2021-01-06,123.23907470703125,156.91900634765625,85.49800109863281,261.4834899902344,203.66229248046875
2021-01-07,127.44436645507812,158.10800170898438,88.05171203613281,266.8757629394531,209.45791625976562
2021-01-08,128.5443878173828,159.13499450683594,89.2174072265625,265.7138977050781,210.734130859375
2021-01-11,125.55586242675781,155.7104949951172,87.15596771240234,255.0583038330078,208.69027709960938
2021-01-12,125.38067626953125,156.04150390625,86.22003936767578,249.3482208251953,206.23387145996094
2021-01-13,127.41519165039062,158.29449462890625,86.70736694335938,249.89439392089844,207.5868377685547
2021-01-14,125.48772430419922,156.37350463867188,85.89698791503906,243.93605041503906,204.40115356445312
2021-01-15,123.76473999023438,155.21249389648438,85.73321533203125,249.61634826660156,204.046142578125
2021-01-19,124.43641662597656,156.03799438476562,88.5544204711914,259.2887878417969,207.6827850341797
2021-01-20,128.52493286132812,163.16900634765625,93.29856872558594,265.6245422363281,215.2631378173828
2021-01-21,133.23641967773438,165.34950256347656,93.50103759765625,270.9770812988281,215.86764526367188
2021-01-22,135.3780059814453,164.6114959716797,93.91836547851562,272.5958251953125,216.80796813964844
2021-01-25,139.1258087158203,164.6999969482422,94.00373077392578,276.0815124511719,220.24314880371094
2021-01-26,139.3594207763672,166.30650329589844,94.6821060180664,280.09344482421875,222.92987060546875
2021-01-27,138.2886199951172,161.62899780273438,90.26498413085938,270.2522277832031,223.47679138183594
2021-01-28,133.4506072998047,161.88099670410156,91.96513366699219,263.1617126464844,229.26284790039062
2021-01-29,128.45677185058594,160.30999755859375,90.68281555175781,256.5379943847656,222.57484436035156
2021-02-01,130.5789031982422,167.1439971923828,93.94369506835938,260.1924743652344,229.9536895751953
2021-02-02,131.40634155273438,169.0,95.23641967773438,265.2272644042969,229.8193359375
2021-02-03,130.38418579101562,165.62649536132812,102.1720199584961,264.80029296875,233.1681671142578
2021-02-04,133.74261474609375,166.5500030517578,101.91148376464844,264.641357421875,232.2182159423828
2021-02-05,133.32826232910156,167.6074981689453,103.65829467773438,266.240234375,232.4005584716797
2021-02-08,133.4744873046875,166.14700317382812,103.44440460205078,264.73077392578125,232.6595916748047
2021-02-09,132.5970916748047,165.25,102.99132537841797,267.58087158203125,233.90704345703125
2021-02-10,131.99266052246094,164.32899475097656,103.54166412353516,269.98406982421875,232.99545288085938
2021-02-11,131.7391815185547,163.10650634765625,103.65431213378906,268.5143737792969,234.597900390625
2021-02-12,131.97315979003906,163.885498046875,103.9659652709961,268.62359619140625,235.07765197753906
2021-02-16,129.84788513183594,163.44749450683594,104.74359893798828,272.0694885253906,233.83981323242188
2021-02-17,127.55682373046875,165.4320068359375,105.1366195678711,271.6723327636719,234.8593292236328
2021-02-18,126.45519256591797,166.4114990234375,104.50091552734375,267.5212707519531,234.4650115966797
2021-02-19,126.61116027832031,162.4949951171875,103.65729522705078,259.74560546875,231.7528533935547
2021-02-22,122.83827209472656,159.03700256347656,101.9427490234375,258.52410888671875,225.53994750976562
2021-02-23,122.70181274414062,159.72500610351562,102.2335433959961,264.0157470703125,224.34738159179688
2021-02-24,122.20458221435547,157.97650146484375,103.40916442871094,262.47650146484375,225.57838439941406
2021-02-25,117.95399475097656,152.85800170898438,100.04161071777344,252.92324829101562,220.23109436035156
2021-02-26,118.21724700927734,154.64649963378906,100.33737182617188,255.83294677734375,223.4914093017578
2021-03-01,124.58336639404297,157.3070068359375,102.70698547363281,263.0723571777344,227.87698364257812
2021-03-02,121.9803695678711,154.72650146484375,102.4499282836914,257.203369140625,224.92440795898438
2021-03-03,118.99713134765625,150.25,99.81631469726562,253.6382598876953,218.85577392578125
2021-03-04,117.11557006835938,148.8784942626953,100.93387603759766,255.85279846191406,218.05752563476562
2021-03-05,118.37320709228516,150.0229949951172,104.06719207763672,262.4466857910156,222.74122619628906
2021-03-08,113.44017028808594,147.59750366210938,99.62227630615234,253.53895568847656,218.69224548339844
2021-03-09,118.05148315429688,153.1425018310547,101.25296020507812,263.8966064453125,224.8378448486328
2021-03-10,116.9693374633789,152.8820037841797,101.04602813720703,263.06243896484375,223.52989196777344
2021-03-11,118.89966583251953,155.67950439453125,104.23939514160156,271.9801330566406,228.0596923828125
2021-03-12,117.99298858642578,154.47450256347656,101.73135375976562,266.53814697265625,226.73248291015625
2021-03-15,120.87870788574219,154.08399963378906,101.9516830444336,271.8510437011719,225.82847595214844
2021-03-16,122.4190673828125,154.59300231933594,103.41313171386719,277.3426208496094,228.61749267578125
2021-03-17,121.62940216064453,156.7864990234375,103.33026885986328,282.0398864746094,227.97317504882812
2021-03-18,117.50553894042969,151.39950561523438,100.30908966064453,276.687255859375,221.8948974609375
2021-03-19,116.97908782958984,153.7480010986328,100.58799743652344,288.0975341796875,221.53904724121094
2021-03-22,120.29379272460938,155.5435028076172,100.7730941772461,291.5037536621094,226.9633331298828
2021-03-23,119.46509552001953,156.875,101.30109405517578,288.6139221191406,228.49249267578125
2021-03-24,117.07656860351562,154.35350036621094,100.86439514160156,280.1828308105469,226.45359802246094
2021-03-25,117.56402587890625,152.31300354003906,100.86092376708984,276.8064270019531,223.45294189453125
2021-03-26,118.16846466064453,152.60150146484375,100.47732543945312,281.0567321777344,227.43458557128906
2021-03-29,118.34397888183594,153.7864990234375,101.52242279052734,288.8026123046875,226.2419891357422
